Line no. 4   Lexeme: _unionfunction                 Token: TK_FUNID 
Line no. 4   Lexeme: input                          Token: TK_INPUT 
Line no. 4   Lexeme: parameter                      Token: TK_PARAMETER 
Line no. 4   Lexeme: list                           Token: TK_LIST 
Line no. 4   Lexeme: [                              Token: TK_SQL 
Line no. 4   Lexeme: record                         Token: TK_RECORD 
Line no. 4   Lexeme: #two                           Token: TK_RUID 
Line no. 4   Lexeme: d5cc34                         Token: TK_ID 
Line no. 4   Lexeme: ,                              Token: TK_COMMA 
Line no. 4   Lexeme: #point                         Token: TK_RUID 
Line no. 4   Lexeme: b5c6                           Token: TK_ID 
Line no. 4   Lexeme: ]                              Token: TK_SQR 
Line no. 5   Lexeme: output                         Token: TK_OUTPUT 
Line no. 5   Lexeme: parameter                      Token: TK_PARAMETER 
Line no. 5   Lexeme: list                           Token: TK_LIST 
Line no. 5   Lexeme: [                              Token: TK_SQL 
Line no. 5   Lexeme: real                           Token: TK_REAL 
Line no. 5   Lexeme: d3                             Token: TK_ID 
Line no. 5   Lexeme: ]                              Token: TK_SQR 
Line no. 5   Lexeme: ;                              Token: TK_SEM 
Line no. 7   Lexeme: record                         Token: TK_RECORD 
Line no. 7   Lexeme: #two                           Token: TK_RUID 
Line no. 8   Lexeme: type                           Token: TK_TYPE 
Line no. 8   Lexeme: #point                         Token: TK_RUID 
Line no. 8   Lexeme: :                              Token: TK_COLON 
Line no. 8   Lexeme: beginpoint                     Token: TK_FIELDID 
Line no. 8   Lexeme: ;                              Token: TK_SEM 
Line no. 9   Lexeme: type                           Token: TK_TYPE 
Line no. 9   Lexeme: #point                         Token: TK_RUID 
Line no. 9   Lexeme: :                              Token: TK_COLON 
Line no. 9   Lexeme: endpoint                       Token: TK_FIELDID 
Line no. 9   Lexeme: ;                              Token: TK_SEM 
Line no. 10  Lexeme: endrecord                      Token: TK_ENDRECORD 
Line no. 13  Lexeme: type                           Token: TK_TYPE 
Line no. 13  Lexeme: record                         Token: TK_RECORD 
Line no. 13  Lexeme: #two                           Token: TK_RUID 
Line no. 13  Lexeme: :                              Token: TK_COLON 
Line no. 13  Lexeme: b5b567                         Token: TK_ID 
Line no. 13  Lexeme: ;                              Token: TK_SEM 
Line no. 14  Lexeme: type                           Token: TK_TYPE 
Line no. 14  Lexeme: record                         Token: TK_RECORD 
Line no. 14  Lexeme: #one                           Token: TK_RUID 
Line no. 14  Lexeme: :                              Token: TK_COLON 
Line no. 14  Lexeme: b3                             Token: TK_ID 
Line no. 14  Lexeme: ;                              Token: TK_SEM 
Line no. 15  Lexeme: type                           Token: TK_TYPE 
Line no. 15  Lexeme: #point                         Token: TK_RUID 
Line no. 15  Lexeme: :                              Token: TK_COLON 
Line no. 15  Lexeme: d5                             Token: TK_ID 
Line no. 15  Lexeme: ;                              Token: TK_SEM 
Line no. 16  Lexeme: b5b567                         Token: TK_ID 
Line no. 16  Lexeme: <---                           Token: TK_ASSIGNOP 
Line no. 16  Lexeme: c6                             Token: TK_ID 
Line no. 16  Lexeme: *                              Token: TK_MUL 
Line no. 16  Lexeme: 2                              Token: TK_NUM 
Line no. 16  Lexeme: ;                              Token: TK_SEM 
Line no. 17  Lexeme: b3                             Token: TK_ID 
Line no. 17  Lexeme: <---                           Token: TK_ASSIGNOP 
Line no. 17  Lexeme: c6                             Token: TK_ID 
Line no. 17  Lexeme: -                              Token: TK_MINUS 
Line no. 17  Lexeme: c3                             Token: TK_ID 
Line no. 17  Lexeme: ;                              Token: TK_SEM 
Line no. 18  Lexeme: while                          Token: TK_WHILE 
Line no. 18  Lexeme: (                              Token: TK_OP 
Line no. 18  Lexeme: b5b567                         Token: TK_ID 
Line no. 18  Lexeme: <=                             Token: TK_LE 
Line no. 18  Lexeme: d5cc34                         Token: TK_ID 
Line no. 18  Lexeme: )                              Token: TK_CL 
Line no. 19  Lexeme: read                           Token: TK_READ 
Line no. 19  Lexeme: (                              Token: TK_OP 
Line no. 19  Lexeme: c3bd                           Token: TK_ID 
Line no. 19  Lexeme: )                              Token: TK_CL 
Line no. 19  Lexeme: ;                              Token: TK_SEM 
Line no. 20  Lexeme: d3                             Token: TK_ID 
Line no. 20  Lexeme: <---                           Token: TK_ASSIGNOP 
Line no. 20  Lexeme: d3                             Token: TK_ID 
Line no. 20  Lexeme: +                              Token: TK_PLUS 
Line no. 20  Lexeme: c3bd                           Token: TK_ID 
Line no. 20  Lexeme: ;                              Token: TK_SEM 
Line no. 21  Lexeme: b5b567                         Token: TK_ID 
Line no. 21  Lexeme: <---                           Token: TK_ASSIGNOP 
Line no. 21  Lexeme: b5b567                         Token: TK_ID 
Line no. 21  Lexeme: +                              Token: TK_PLUS 
Line no. 21  Lexeme: 1                              Token: TK_NUM 
Line no. 21  Lexeme: ;                              Token: TK_SEM 
Line no. 22  Lexeme: endwhile                       Token: TK_ENDWHILE 
Line no. 23  Lexeme: return                         Token: TK_RETURN 
Line no. 23  Lexeme: [                              Token: TK_SQL 
Line no. 23  Lexeme: d3                             Token: TK_ID 
Line no. 23  Lexeme: ]                              Token: TK_SQR 
Line no. 23  Lexeme: ;                              Token: TK_SEM 
Line no. 24  Lexeme: end                            Token: TK_END 
Line no. 27  Lexeme: _main                          Token: TK_MAIN 
Line no. 28  Lexeme: record                         Token: TK_RECORD 
Line no. 28  Lexeme: #one                           Token: TK_RUID 
Line no. 29  Lexeme: type                           Token: TK_TYPE 
